ordering,Category,icon,url,title,Description,Installations,Score
0,Drawing and colouring,https://play-lh.googleusercontent.com/p7PG8fih_pKYrhUGUbflyihK8LmTqil066RhPNjOTt-TRr9YAYwvAK8OGEob76kEbWY,https://play.google.com/store/apps/details?id=com.orange.coloring.learn.kids&hl=en&gl=uk,Coloring & Learn,"""Coloring and Learn"" is an realistic coloring game with more than 250 pages with educational content and many more activities for all ages!.

""Free mode"": now you can freely draw, doodle, color and unleash your imagination.

""Glow coloring mode""...",100000000,4.01
2,Drawing and colouring,https://play-lh.googleusercontent.com/WLUYbL8tOx24Zyzy19F4QPr7cv4LILuGQqfRFrhxrm4OYVAihFGAyGjjWTYTZiB3pSA,https://play.google.com/store/apps/details?id=com.forqan.tech.PrincessColoring&hl=en&gl=uk,Princess Coloring Book Glitter & Girls Dress Up,"""Free paint & coloring game, one of the TOP 5 worldwide apps of ""Coloring & Drawing for Kids"" for 2020!
Cool and cute princess coloring book, with 50+ amazing pictures of princesses, fairy-tales, queens, unicorns, and much more FREE educational cont...",50000000,3.85
4,Drawing and colouring,https://play-lh.googleusercontent.com/YGlcya--Hc0xTHTBrS-FB4JJauKn3frAUsJEZA2LkO3IypuRX4-o9NnoxGN_gQYpjdg,https://play.google.com/store/apps/details?id=com.doodlejoy.studio.kidsdoojoy&hl=en&gl=uk,Kids Doodle - Color & Draw Free Game,"Kids Doodle, the BEST android drawing app for kids!

Kids Doodle is particularly designed for kids with super easy-to-use painting on photo or canvas.

It has endless bright colors and 24 beautiful brushes, such as glow, neon, rainbow, crayon an...",50000000,4.21
6,Drawing and colouring,https://play-lh.googleusercontent.com/zEeVdf2QNSOGP5b_koYGD72o_LB5uLdABUoBvYSxNiPZjVRwcxF2j2a_e8c5KGgpKxk,https://play.google.com/store/apps/details?id=com.rvappstudios.kids.coloring.book.color.painting&hl=en&gl=uk,"Coloring Games: Coloring Book, Painting, Glow Draw","Kids love fun coloring games, and this Coloring Game is one of the best free coloring book and painting apps for children!

Coloring Games is filled with fun, colorful, and creative drawing and painting tools that help kids of all ages enjoy creati...",50000000,3.9
8,Drawing and colouring,https://play-lh.googleusercontent.com/Ctc6gxEuFdVzkAyrFtGRW429r6zVehCZFJfQVuIsPAMooiidAIOuzzIiE7DKva9XmgUW,https://play.google.com/store/apps/details?id=com.binibambini.MiniLite&hl=en&gl=uk,Bini Drawing for kids games,"Painting games for kids 🎨 are great learning apps for children, where kids paint and color colorful drawings come to life in fun games for kids. Drawings turn into mini-cartoons🎨

🧩This is a real collection of more than 100 tasks in which the kid d...",10000000,4.04
0,Simple puzzles,https://play-lh.googleusercontent.com/xU46slB8LX-vtvSanMcEUlDpsWLqvV8xWdBdlwczk90i4Ezl95kFdNBuJLif2Ip5374,https://play.google.com/store/apps/details?id=se.appfamily.superpuzzlefree&hl=en&gl=uk,Kids Animals Jigsaw Puzzles,"If you or your children like jigsaw puzzles, you will LOVE Super Puzzle!

This game works almost like a real jigsaw puzzle for kids. When you select a piece it stays on the board even if you place it incorrectly, and you can move the piece until it...",10000000,4.65
2,Simple puzzles,https://play-lh.googleusercontent.com/eL63mjkK7x7TExH0pli2OBV0jpYsh1lowPCNv66FCWeYgg5dg4n1YFRkpnHYXc2V3PtE,https://play.google.com/store/apps/details?id=net.cleverbit.SafariPuzzles&hl=en&gl=uk,Kids Puzzles,"The ""Funny animals"" Kids’ Puzzles is an educational game for kids from 1 year old and for children aged 2-4.

It’s a funny jigsaw puzzle game for toddlers who are expected to put together animal puzzle pieces  listening to animal sounds, pop balloo...",10000000,3.9
4,Simple puzzles,https://play-lh.googleusercontent.com/2ZmnyT_uL-VU3-7rnC0kBCcwWCpY4uluDJ_7O0QpaKDSRWMdacwz0zULIkLCvfUmvRA,https://play.google.com/store/apps/details?id=net.cleverbit.PuzzlesForKids&hl=en&gl=uk,Baby Puzzles for Kids,"""Funny animals"" baby puzzles for kids is a free jigsaw puzzle game that helps your kids to develop the cognitive, tactile and fine motor skills while playing different animal puzzles.

This colorful Montessori game brings your kid from 2 to 3 years...",5000000,4.46
6,Simple puzzles,https://play-lh.googleusercontent.com/dC2OAgpZemLDRX41NO_LC7pmyiNGWafK-rBq0jbjpjpxGzRZpnDQwMACRlXSri5a8iw,https://play.google.com/store/apps/details?id=se.appfamily.puzzle.dinosaurs.free&hl=en&gl=uk,Dinosaurs Jigsaw Puzzles Game,"If you or your kids like dinosaur games and jigsaw puzzles, they will LOVE this puzzle filled with cool dino pictures!

In this relaxing puzzle game for kids and adults you can choose whether to use 6, 9, 12, 16, 30 or 56 pieces, adjusting the diff...",5000000,4.33
8,Simple puzzles,https://play-lh.googleusercontent.com/BbtSsFFdMF03rckllTvKE816Uz0v40UcTYISdQM8jmSrqohdEU2Fj6Wl0j3BQjab,https://play.google.com/store/apps/details?id=net.cleverbit.DinoPuzzles&hl=en&gl=uk,Dino Puzzle,"""Funny Dinosaurs"" is an educational jigsaw puzzle game for kids 3, 4, 5 years old and even for toddlers from 1-2 year old.

These bright kids puzzles bring your child into amazing dinosaur world. Your kid will assemble the cartoon dino puzzles, lea...",5000000,4.21
0,Literacy - English / ABCs,https://play-lh.googleusercontent.com/R0vKLbA__RE4UxAUAw3eUVZ0dnEWQN93bcqMctRlNj3lHmkye-0NLlFz-l3bqLDHElc,https://play.google.com/store/apps/details?id=es.monkimun.lingokids&hl=en&gl=uk,Lingokids - kids playlearning™,"Lingokids is the playlearning™ app : Our games invite your child to practice their 21st-century skills: creativity, collaboration, critical thinking and communication. Your child will also  practice over 3000 new words and can learn about 60 differen...",10000000,4.11
2,Literacy - English / ABCs,https://play-lh.googleusercontent.com/emeXZkYGCpoOYmCrdOJRX_tqTL0cILzULBW8zZhxK7TWc4J0TMaeHJGAZPER4CACFHE,https://play.google.com/store/apps/details?id=com.mjplus.learnarabic&hl=en&gl=uk,Learn Alphabet ABC & Numbers & Games for Kids,Prepare kids in different ages for preschool and kindergarten by teaching them in a fun and simple way the basics such as alphabets and numbers to help the child ease their educational understanding and expand their knowledge horizon with 3 different...,10000000,4.3
4,Literacy - English / ABCs,https://play-lh.googleusercontent.com/y3xFoUhDi54rKhRSW7CA4pzvGmKn_3nMCDNWIRGb2YOuibj87hu-C8tiXhar0-ZetMA,https://play.google.com/store/apps/details?id=com.gamesforkids.preschoolworksheets.alphabets&hl=en&gl=uk,ABC PreSchool Kids Tracing & Phonics Learning Game,"ABC PreSchool Kids Tracing & Phonics Learning game (350+ Worksheets) is an educational app to help your toddler learn basic tracing starting from lines, phonics and trace the letters of the alphabet ABCs and numbers 1 to 10, shapes & colors. ABC Pres...",10000000,3.97
6,Literacy - English / ABCs,https://play-lh.googleusercontent.com/ZOA8PEBB0Cgc_m9vnBbds_xW6ShVef16ln7Ct6cq5IxgrEuYfwlS61tLx4xmopRAClc,https://play.google.com/store/apps/details?id=ai.mybuddy.talkingflashcards_new&hl=en&gl=uk,Buddy.ai: English for kids,"Meet Buddy, the voice-based virtual English tutor for children ages 4-10. Buddy teaches kids to speak English using unique speech technology and game-like lessons and activities.

 Speak Spanish, Portuguese, Russian, Turkish, and Polish easily
I...",10000000,4.49
8,Literacy - English / ABCs,https://play-lh.googleusercontent.com/B1dyJrNuCfAtE9uwsYSjaoi8sr-ACx15kjK2gbSbCPboCua9LnRcRXkrv1d0FZRD5DI,https://play.google.com/store/apps/details?id=com.binibambini.abc&hl=en&gl=uk,Bini ABC games for kids!,"Bini Super ABC for kids is where your child can play letter games for kids and learning games for toddlers to learn letters. Let’s get this alphabet game started!

Alphabet games like those in the Bini super ABC app with super baby letters help you...",10000000,4.07
0,Literacy - English / Reading and Stories,https://play-lh.googleusercontent.com/v50zN_2wAEaFrfkDbhAIOt63lKGUc78UeTkYeXKPEaw0BuLDOpf4rZwJfIiCi9tpCw,https://play.google.com/store/apps/details?id=com.getepic.Epic&hl=en&gl=uk,Epic: Kids' Books & Reading,"A leading digital reading platform, Epic offers a fun, safe and enriching space loved by kids, parents and teachers. Kids are able to read on their own at any level, and parents and teachers can track kids’ reading activity and send kudos to keep the...",5000000,4.25
2,Literacy - English / Reading and Stories,https://play-lh.googleusercontent.com/cuPspMyhInYWcySfgjwLBbLmnR-3rJG-bSk8MRojA_LqI02XQjbX8Dk1hzCupwxlOFak,https://play.google.com/store/apps/details?id=air.uk.co.bbc.cbeebiesstorytime&hl=en&gl=uk,CBeebies Storytime: Read,"The CBeebies Storytime app is filled with free interactive storybooks to inspire a love of reading in kids. The children’s stories in the app promote CBeebies’ core values, with themes of inclusivity, sharing, friendship and more. There are two readi...",1000000,4.11
4,Literacy - English / Reading and Stories,https://play-lh.googleusercontent.com/FBZeQymDd5-qwX0Q3J1iJCypbjED7tLAdTMZ2vmoUrTcml6RSPp5vTkA_oErGDtx8EiD,https://play.google.com/store/apps/details?id=com.earlystart.android.monkeyjunior.story&hl=en&gl=uk,Monkey Stories:Books & Reading,"Monkey Stories is an English language learning program which aims at helping children be conversant with English before the age of 10! (suitable for children of 2 - 10 years of age)

Designed by language experts in accordance with The Common Europe...",1000000,4.2
6,Literacy - English / Reading and Stories,https://play-lh.googleusercontent.com/9kghCVpDrn0lqfI5qtJ-CSddxqDvA7inLlvepceH7vXGHkV0aCRznS0pUx5nSsk8ZDk8,https://play.google.com/store/apps/details?id=com.trilobitesoft.kc.mi&hl=en&gl=uk,Bebebears: Stories and Learning games for kids,"Be be bears: 📚 Stories and Learning games for kids are fun preschool learning games. These educational games for kids 👶 help your child learn numbers 🔢, alphabet, and develop logical thinking. Learning numbers for kids is very easy with our 🎨 colorin...",1000000,n/a
8,Literacy - English / Reading and Stories,https://play-lh.googleusercontent.com/UbqJJIdj95IPch5q60yXDgI74_OCoytV1R_2dbu6yKZ4XRH3GgCukfUNJVgtuMsWfQ,https://play.google.com/store/apps/details?id=ro.heykids.povesti.desene.app&hl=en&gl=uk,Bedtime Stories and Fairy Tales for Kids - HeyKids,"Enjoy an amazing collection of bedtimes stories for children!

Our app is designed for curious little babies, toddlers, and preschoolers! Your child will enjoy lovely 3D animated fairy tales videos that will help them unleash their imagination and ...",1000000,n/a
